pct_Pop_NoCompDevic_ACS_15_19,pct_Pop_w_BroadComp_ACS_15_19,pct_Civ_unemp_16p_ACS_15_19,state,county,tract
10.29,82.94,2.86,01,001,020100
14.4,81.71,4.37,01,001,020200
9.55,85.26,3.52,01,001,020300
4.98,90.85,3.2,01,001,020400
2.66,91.95,3.12,01,001,020500
5.45,86.75,6.75,01,001,020600
10.01,80.84,9.83,01,001,020700
2.35,93.96,2.87,01,001,020801
4.24,87.86,3.03,01,001,020802
6.89,78.05,1.87,01,001,020900
6.84,82.39,4.42,01,001,021000
18.5,62.27,3.04,01,001,021100
11.45,82.79,4.75,01,003,010100
11.11,82.01,6.57,01,003,010200
14.48,79.96,4.77,01,003,010300
7.01,79.68,2.56,01,003,010400
6.66,85.01,2.37,01,003,010500
15.44,77.42,6.59,01,003,010600
2.69,92.37,0.48,01,003,010701
0.64,96.47,2.96,01,003,010703
0.45,83.46,2.77,01,003,010704
1.33,91.8,2.63,01,003,010705
8.26,86.76,7.47,01,003,010800
10.37,83.77,5.32,01,003,010903
7.39,79.62,5.26,01,003,010904
6.49,82.6,1.28,01,003,010905
10,85.02,3.8,01,003,010906
9.57,78.12,4.01,01,003,011000
2.71,95.5,3.17,01,003,011101
5.71,88.97,2.16,01,003,011102
4.8,91.81,5.77,01,003,011201
6.3,91.5,13.53,01,003,011202
5.56,85.2,3.45,01,003,011300
8.4,77.74,5.68,01,003,011401
2.54,84.51,7.74,01,003,011403
0.8,89.58,3.49,01,003,011405
6.82,81.82,4.32,01,003,011406
5.56,82.81,2.72,01,003,011407
9.32,85.48,5.07,01,003,011408
4.8,76.5,4.46,01,003,011501
7.83,80,4.62,01,003,011502
4.68,86.38,2.62,01,003,011601
7.8,85.5,4.86,01,003,011602
NA,NA,NA,01,003,990000
25.98,63.77,14.46,01,005,950100
17.85,56.77,5.98,01,005,950200
36.11,52.38,6.02,01,005,950300
23.57,54.05,5.07,01,005,950400
7.82,53.94,9.34,01,005,950500
11.63,71.22,6.92,01,005,950600
18.35,67.18,14.9,01,005,950700
11.78,78.22,6.77,01,005,950800
13.53,82.84,12.13,01,005,950900
11.08,86.53,0,01,007,010001
16.91,72.97,11.31,01,007,010002
12.92,77.94,8.93,01,007,010003
20.8,74.41,4.39,01,007,010004
13.66,76.02,4.9,01,009,050101
16.2,75.36,4.58,01,009,050102
12.77,80.5,1.82,01,009,050200
21.88,70.45,2.48,01,009,050300
15.23,75.13,2.14,01,009,050400
12.04,76.31,4.49,01,009,050500
10.68,80.76,1.87,01,009,050601
8.43,86.06,1.14,01,009,050602
8.37,83.11,5.48,01,009,050700
20.39,60.99,10.04,01,011,952100
14.08,66.28,1.77,01,011,952200
14.4,50.23,4.83,01,011,952500
11.02,84.94,0,01,013,952700
9,86.46,5.93,01,013,952800
27.7,64.98,11.39,01,013,952900
23.64,57.7,3.39,01,013,953000
34.66,55.48,7.77,01,013,953100
20.46,61.66,5.77,01,013,953200
20.37,75.66,3.83,01,013,953300
30,65.02,13.35,01,013,953400
17.42,59.46,7.95,01,013,953500
17.25,67.86,7.22,01,015,000200
21.76,64.75,13.26,01,015,000300
15.93,54.85,22.49,01,015,000400
39.96,39.67,16.72,01,015,000500
21.86,62.48,25.68,01,015,000600
14.43,69.52,10.72,01,015,000700
20.05,39.63,12.12,01,015,000800
7.78,86.78,5.88,01,015,000900
4.77,90,2.85,01,015,001000
5.09,92.47,7.66,01,015,001100
17.16,68.34,10.47,01,015,001201
9.6,71.83,4.19,01,015,001202
18.22,65.51,10.21,01,015,001300
13.3,71.85,8.15,01,015,001400
10.54,77.87,2.46,01,015,001500
13.95,74.51,15.88,01,015,001600
7.84,85.13,8,01,015,001700
4.64,76.41,13.76,01,015,001800
3.37,93.34,3.59,01,015,002000
8.84,60.51,10.68,01,015,002101
2.39,91.7,7.82,01,015,002102
6.68,89.12,11.66,01,015,002103
16.24,77.08,8.8,01,015,002200
9.24,78.11,13.33,01,015,002300
5.2,77.85,3.42,01,015,002400
4.21,93.08,1.59,01,015,002501
9.24,79.85,2.05,01,015,002502
6.81,81.65,9.45,01,015,002600
NA,NA,NA,01,015,981901
NA,NA,NA,01,015,981902
NA,NA,NA,01,015,981903
17.7,64.68,4.08,01,017,953800
10.29,68.62,1.96,01,017,953900
20.35,68.22,2.45,01,017,954000
10.97,83.51,5.01,01,017,954200
6.98,79.91,2.26,01,017,954300
20.48,72.86,6.32,01,017,954400
19.54,74.61,8.61,01,017,954500
16.15,80.05,5.15,01,017,954600
10.85,86.16,3.19,01,017,954700
7.35,82.32,2.84,01,019,955701
15.92,77.46,6.58,01,019,955702
10.25,78.59,4.09,01,019,955800
7.54,75.69,2.43,01,019,955900
15.08,75.7,8.98,01,019,956000
12.02,80.74,2.72,01,019,956100
17.47,76.33,4.71,01,021,060101
20.39,66.57,6.14,01,021,060102
6.75,81.93,5.04,01,021,060200
9.61,72.45,7.56,01,021,060300
10.33,81.57,4.69,01,021,060401
9.52,81.46,7.85,01,021,060402
